num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,21.888,26.819,3.420,3.475,31098
2,16.687,15.828,3.584,3.588,32328
3,20.671,15.688,4.757,6.978,34034
4,22.765,14.477,9.823,13.220,35796
5,18.418,8.756,7.909,12.899,36072
6,21.834,8.862,9.639,15.456,38014
8,26.737,9.161,12.704,21.288,43266
10,29.186,9.075,12.911,26.509,47602
12,30.590,9.262,10.273,25.992,53708
16,31.823,9.470,8.080,24.905,63776
20,30.828,9.314,7.679,24.759,69720
25,28.735,8.226,5.761,23.421,76440
30,29.289,8.364,5.380,23.314,82550
