num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,21.841,26.814,3.394,3.456,30998
2,16.534,15.763,3.526,3.555,32128
3,20.649,15.646,4.702,6.886,33948
4,22.496,14.461,9.505,12.888,36134
5,18.081,8.773,7.010,12.824,36598
6,21.221,8.855,8.621,15.129,38964
8,25.829,9.075,11.172,20.147,45604
10,27.849,8.992,10.313,23.663,51338
12,28.683,9.121,7.805,23.107,58154
16,29.792,9.193,6.464,22.590,68796
20,29.296,9.135,6.121,23.251,74400
25,28.414,8.561,5.068,22.016,80030
30,29.210,8.876,5.013,22.607,84856
