num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,22.663,27.503,3.338,3.376,31946
2,18.697,17.417,3.500,3.469,34130
3,21.867,17.189,4.422,6.772,36304
4,23.449,15.720,8.028,12.423,38178
5,19.828,10.069,7.162,12.477,38898
6,22.836,10.170,8.320,16.032,41160
8,27.657,10.460,11.574,22.745,45890
10,30.381,10.244,13.714,27.980,49304
12,32.487,10.330,12.129,28.399,53272
16,34.522,10.591,10.112,27.859,61082
20,33.382,9.839,9.681,28.512,66836
25,31.091,8.442,7.590,26.797,72790
30,31.096,8.350,6.952,25.916,79488
